Designer,Color,Description,Size,Price,Opening_Stock
Maybach,Silver,Remless,,,650,1
Maybach,Silver /Broom hands,,,,650,1
Balmain,Blk/Brown,Sq,,,450,1
Balmain,Blk,Sq,,,450,1
Gucci,Blk Sq diesel color hand,,,,260,1
Gucci,Blk /Brown,,,,280,1
Gucci,Blk Sq GG logo,,,,260,1
Burberry,Blk/ Sq Oval 'TB',,,,260,1
Burberry,Blk / Green hands,,,,260,1
Burberry,Blk,,,,250,1
Dior,DoramaZ Sq,,,,350,1
Dolce & Gabbana/persol,Blk,Sq,,,280,1
Zegna,Oval/gold,,,,250,1
Marc Jacobs,Large Sq clear,,,,250,1
David Beckham,Blk,Sq,,,180,2
Hugo Boss,Sq/ Gold,,,,250,1
Hugo Boss,Sq/Green hands,,,,250,1
Chrome Hearts,Black,Blc Round shape,,400,1
Chrome Hearts,Black,Blc square half frame,,400,1
Gucci,Black,blac&brown square,,280,1
Gucci,Black,Blc square half frame,,395,1
Marc jacobs,Green,Green Thick rectangular frame,,180,2
Moscot,Black,Black&grey square frame,,200,1
Moscot,Brown,Brown Rectangular shaped frame,,200,1
Moscot,Brown,Brown&light green round shaped frame,,280,1
Moscot,Blue,Light blue square shaped frame,,200,1
Moscot,Grey,Grey square shaped,,200,1
Prada,Blue,Blue rectangular cat-eye,,300,1
Prada,Blue,Blue rectangular with logo,,300,1
Prada,Grey,Grey rectangular with logo,,320,1
David becham,Black,Black square frame,,150,1
Off white,Black,black thick square frame,,420,1
Thom brown,Brown,brown rectangular frame,,500,1
