Designer,Color,Description,Size,Price,Opening_Stock
Tom ford,,Rose,,350,1
Moncler,,,,,180,1
Zadig & Voltire,,This is Her,,90,1
Versace,,Bright cristal Absolu,,150,1
Ferragamo,,Signorina,,120,1
