Designer,Color,Description,Size,Price,Opening_Stock
Moncler,,Pour homme,,220,0
Prada,,Luna Rossa,,180,1
Valentino,,Born in Roma black,,100,1
Ferragamo,,Intense Leather,,200,1
Dunhill,,Icon Racing,,120,1
Narciso Rodriguez Bleu nouir,,for him,,150,1
Narciso Rodriguez Noir,,,,150,0
Zadig& voltaire,,This is him,,120,1
Valentino,,Born in roma brown,,150,1
Curve,,Black,,100,1
Cartier,,Pasha de catier,,0,1
Ralph Lauren,,The Polo Black Bear,,0,1
