Designer,Color,Description,Size,Price,Opening_Stock
D&G,Skyeblue,logo tshirt,L,250,1
Palm Angels,,offwhite (love) logo,m,220,0
Valentino,white,2099,l,180,0
Givenchy,White,Orange design,2xl,250,0
Dsquared,Grey,3logo stripe shirt,s/m,180,0
Moschino,Black,Knight on horse,xl,200,1
Valentino,Grey,VLTN silver,s/m,180,1
Saint Lauren,Black,Redlips tshirt,l,280,1
Fendi,Navy blue,fendi tshirt,xxl,250,0
Moschino,White,King of cloths,L,180,1
Balmain,,Truth not yours,m,280,1
Louis vuiton,White,Kansas back,l,250,1
D&G,,Royal tiggers,s,150,1
Philip plein,Black,Black studded skul,s,425,1
Celine,Yellow,Teeth design shirt,xl,250,1
Philip plein,White,Stoned Skul shirt,l,450,1
Neil Barrett,White,Lightning studa tshirt,l,250,1
Balmain,White,Mount balmain tshirt,L,280,1
McQueen,Black,Skul tshirt,L,250,1
D&G,Black,Tropical trees,m,180,1
BAlmain,Army green,Dangerous tshirt,xl,300,1
D&G,Black,Royal tshirt,l,250,1
Moncler,Black,2crest tshirt,xl,220,1
Billionaire,grey,Circle logo,l,180,1
Moncler,Red,Moncler logo,m,220,1
Palm Angels,Black,black (love) logo,xl,220,1
Burberry,Embroided design TB shirt,,L,250,1
D&G,,D&G all over tshirt,m,250,2
Marcello Burlon,Grey,Ali's tshirt,xl,220,1
D&G,,Royal tiger tshirt,xl,150,1
YSL,black,Sequenced tshirt,3xl,450,1
Celine,Black,Plain logo tshirt,l,280,1
D&G,Black,L'Amore tshirt,m,150,1
D&G,White,Love Panda,L,200,1
Marcelo Burlon,Black,country of milan,s,0,1
Celine,White,Wiltery theatre los angeles,s,0,1
Steffano ricci,white,eagle SR tshirt,xl,0,2
Steffano ricci,Black,Eagle head tshirt,L/m,0,2
Marcelo Burlon,Black,country of milan,m,0,1
D&G,White,Love Panda,2xl,200,1
Neil Barrett,White,Rainbow(in stones),m,200,1
Versace,Yellow,Medusa tshirt,m,250,1
Fendi,white,fendi roma all over,3xl,300,1
D&G,Blue,Orange/Flowers,L,350,0
D&G,Black,Yellow cars tshirt,L,250,1
McQueen,Black,Big skull in middle,m/l,0,1
McQueen,White,Big skull in middle,l,0,1
Balmain,Black,Paris 44 Rue/balmain logo,,0,1
Balmain,Black,brown scattered painting,,0,1
Moncler,Grey,Moncler logo on pocket,,0,1
Moncler,White,Anime in front,,0,1
Amiri,Black,M in rings with color white,,0,1
Valentino,Black,Wholly valentino in white wool,,0,1
Givenchy,White,Red&black stripe design,,0,1
Steffano Ricci,White,Eagle and anchor design,,0,1
Fendi,,Fendi in red logo,,0,1
Givenchy,White,Plain with small g in black,,0,1
Gucci,green,yellow gucci design with silver studs,,0,1
Neil Barrett,white,Rainbow in multiple colors,,0,1
Moschino,white,Multiple color design,,0,1
Burberry,Black,Multiple color design,,0,1
Ferragamo,Black,1927 salvatore ferragamo,,0,1
iceberg,Black,Iceberg with multiple color,,0,1
Casablanca,Black,Casa logo on chest,,0,1
Casablanca,White,woman head design,,0,1
